courseId,name,class,lecturer,room,day,startSlot,endSlot,startTime,endTime,durationSlots,roomType,capacityNeed
LE1BA03,Pengantar Teknik Logistik,TL-1A,Oki Anita Candra Dewi  S.T.  M.T.,Coal Mill 208,Thu,6,12,12:30,17:30,6,theory,30
LE1MA02,Logika Pemograman,TL-1A,Oki Anita Candra Dewi  S.T.  M.T.,C102,Wed,8,10,14:10,15:50,2,theory,30
LE1MA02,Logika Pemograman,TL-1A,Oki Anita Candra Dewi  S.T.  M.T.,Coal Mill 302,Fri,6,8,12:30,14:10,2,theory,30
LE1MB02,Gambar Teknik,TL-1A,Niswatun Faria  S.T.  M.Sc,G3.R6,Mon,0,4,07:30,10:50,4,theory,30
LE1MC03,Kalkulus 1,TL-1A,Ngatini,Auditorium,Fri,8,14,14:10,19:10,6,theory,30
LE1MD03,Fisika Dasar,TL-1A,Fandi Angga Prasetya  S.Si.  M.Si,Coal Mill 203,Fri,0,4,07:30,10:50,4,theory,30
LE1MD03*,Praktikum Fisika Dasar,TL-1A,Asisten FD TL,Coal Mill 103,Mon,8,14,14:10,19:10,6,theory,30
LE1ME03,Kimia Dasar,TL-1A,Yuni Kurniati  S.T.  M.T.,G4.R4,Tue,10,14,15:50,19:10,4,theory,30
LE1MK12,Konsep Pemodelan Sistem,TL-3A,Muhammad Faisal Ibrahim  S.T.  M.T.,Limestone,Tue,0,4,07:30,10:50,4,theory,30
LE1ML13,Statistik Industri II,TL-3A,Sekarsari Utami Wijaya  S.Stat,Coal Mill 201,Mon,8,14,14:10,19:10,6,theory,30
LE1MM13,Riset Operasi II,TL-3B,Siti Nurminarsih  S.T.  M.T.,Coal Mill 207,Mon,2,8,09:10,14:10,6,theory,30
LE1MN13,Matematika Optimasi,TL-3A,Sekarsari Utami Wijaya  S.Stat,Coal Mill 103,Thu,8,14,14:10,19:10,6,theory,30
LE1BB13,Riset Pasar,TL-3B,Winda Narulidea  S.T.  M.T.,G4.R3,Tue,0,3,07:30,10:00,3,theory,30
LE1BC13,Sistem Produksi,TL-3B,Muhammad Faisal Ibrahim  S.T.  M.T.,G3.R5,Fri,6,9,12:30,15:00,3,theory,30
LE1AA24,Perancangan Sistem Transportasi Darat,TL-5B,Siti Nurminarsih  S.T.  M.T.,G4.R3,Thu,0,8,07:30,14:10,8,theory,30
LE1BI02,Manajemen Organisasi dan Sumber Daya Manusia,TL-5B,Mirza Dwinanda Ilmawan  S.E.  M.M.,G3.R6,Wed,0,4,07:30,10:50,4,theory,30
LE1BJ23,Sistem Pengadaan,TL-5B,Muhammad Faisal Ibrahim  S.T.  M.T.,G4.R2,Fri,0,6,07:30,12:30,6,theory,30
LE1BK13,Penanganan Material dan Pengemasan,TL-5B,Winda Narulidea  S.T.  M.T.,G3.R5,Wed,8,14,14:10,19:10,6,theory,30
LE1BL23,Perancangan Sistem Informasi Logistik,TL-5B,Muhammad Faisal Ibrahim  S.T.  M.T.,G3.R2,Thu,8,14,14:10,19:10,6,theory,30
LE1MP12,Metodologi Penelitian,TL-7B,Oki Anita Candra Dewi  S.T.  M.T.,Coal Mill 102,Mon,6,10,12:30,15:50,4,theory,30
LE1AH03,Manajemen Risiko dan Kinerja,TL-7A,Siti Nurminarsih  S.T.  M.T.,Coal Mill 301,Wed,0,6,07:30,12:30,6,theory,30
